repo_full_name,repo_type,addon_or_project,platform,category,primary_use,feature_summary,savedvars_present,savedvars_scope,settings_framework,vault_capture_mode,vault_complexity,vault_priority,evidence_level,lineage_status,notes
iFedix/Dustman,original,Dustman,PC/Mac,inventory;automation-QoL,Loot/junk management,"Automated item/junk handling based on configurable rules; source enrichment pending",unknown,unknown,unknown,unknown,medium,medium,repository-metadata,verified discovery,"Rule configuration may be highly portable"
uladz/PriceTracker,original,PriceTracker,PC/Mac,trading,Trading price tracking,"Tracks / displays price information; detailed data model pending source inspection",unknown,unknown,unknown,unknown,high,medium,repository-metadata,verified discovery,"Need to separate preferences from potentially large historical price data"
michaelwestbrook/Provinatus,original,Provinatus,PC/Mac,UI-HUD;map-exploration,HUD/map overlay,"Broad HUD/map overlay system; detailed modules pending source inspection",unknown,unknown,unknown,unknown,high,high,repository-metadata,verified discovery,"Large configurable UI surface makes it a valuable adapter benchmark"
Baertram/FCOItemSaver,original,FCOItemSaver,PC/Mac,inventory,Item protection and marking,"Player-defined item protection / marker rules; exact feature/schema inspection pending",unknown,unknown,unknown,unknown,high,high,repository-metadata,verified discovery,"User-authored rule state is valuable backup material"
silvereyes333/Postmaster,original,Postmaster,PC/Mac,mail;automation-QoL,Mail workflow automation,"Mail quality-of-life / automation; detailed feature set pending README/source inspection",unknown,unknown,unknown,unknown,medium,medium,repository-metadata,verified discovery,"Potential portable settings candidate"
ralfepoisson/CombatStatus-Console,original,CombatStatus-Console,Console,combat;UI-HUD,Console combat status display,"Small console-specific Lua/XML addon; useful minimal console architecture specimen",unknown,unknown,unknown,unknown,low,medium,source-tree-inspected,verified discovery,"Repo contains Lua/XML/manifest/package assets and license"
MikoBratcie/ESO-RaidNotifierConsole,unknown,ESO RaidNotifier Console,Console,combat,Console raid/trial notifications,"Console-targeted RaidNotifier variant; compare feature and lineage against kyoma/ESO-RaidNotifier",unknown,unknown,unknown,unknown,medium,high,repository-metadata,lineage verification required,"High-value console port comparison"
gamersa22/Pet-Health-Console,unknown,Pet Health Console,Console,UI-HUD;combat,Pet health display,"Console-specific pet health UI; detailed feature/schema inspection pending",unknown,unknown,unknown,unknown,low,medium,repository-metadata,lineage verification required,"Small console-native specimen"
Bazooper-blip/MailHistoryConsole,unknown,MailHistoryConsole,Console,mail,Mail history,"Console mail-history functionality; details pending source inspection",unknown,unknown,unknown,unknown,medium,medium,repository-metadata,lineage verification required,"Need to distinguish persistent history from preferences"
Bazooper-blip/AlreadyListed,unknown,AlreadyListed,Unknown,trading,Listing / trading helper,"Repository discovered through ESO console-oriented search; exact purpose/platform to verify",unknown,unknown,unknown,unknown,unknown,low,discovery-only,unverified,"Do not infer more until README/source inspection"
Fluazinam/LibConsoleMenu,library,LibConsoleMenu,Console,library-framework,Console menu/UI framework,"Console menu helper library; exact public API and consumers to inspect",unknown,unknown,custom,none,medium,high,repository-metadata,verified discovery,"Potential ConsoleKit / Vault gamepad UI reference"
the-jolly-green-bryant/eso-addon-mirror,mirror,ESO Add-on Mirror,Console;PC/Mac,developer-tooling,Addon census and preservation mirror,"3,800 mirrored add-ons; 599 Bethesda Console + 3,201 ESOUI PC/Mac; stable Bethesda/ESOUI IDs; unpacked source catalog",n/a,n/a,n/a,none,n/a,critical,readme-inspected,mirror not canonical addon repo,"Use for discovery/provenance; original addon licenses remain independent"
FAR747/ESO_SavedVariables_Auto_Backup,developer-tooling,ESO SavedVariables Auto Backup,PC/external,external-manager;developer-tooling,SavedVariables backup utility,"External SavedVariables backup project; implementation and exact workflow need inspection",n/a,n/a,n/a,none,medium,critical,repository-metadata,verified discovery,"Direct comparative research for Vault backup semantics"
arviceblot/eso-addons,manager,ESO Add-ons Manager,PC/external,external-manager,External ESO add-on management,"Desktop / filesystem-oriented add-on manager reference; exact current feature inventory already covered elsewhere in eso-adds",n/a,n/a,n/a,none,medium,medium,repository-metadata,verified discovery,"Useful conceptual comparison but not directly portable to PS5"
Trojan295/eso-addons,collection,ESO Add-ons,Unknown,other,ESO add-on collection,"Multi-addon repository discovered through GitHub search; contained add-ons/features need enumeration",unknown,unknown,unknown,unknown,unknown,low,discovery-only,unverified,"Requires repository tree inspection"
DarrenKent/ESO-Addons,collection,ESO Add-ons,Unknown,other,ESO add-on collection,"Multi-addon repository discovered through GitHub search; contained add-ons/features need enumeration",unknown,unknown,unknown,unknown,unknown,low,discovery-only,unverified,"Requires repository tree inspection"
AlphaLemming/Addons,collection,Addons,Unknown,other,ESO add-on collection,"Repository discovered from ESO-specific GitHub search; contained projects/features need enumeration",unknown,unknown,unknown,unknown,unknown,low,discovery-only,unverified,"Requires source inspection before feature claims"
cookie-starts-with-c/ESOAddons,collection,ESOAddons,Unknown,other,ESO add-on collection,"Multi-addon repository discovered through GitHub search; contained projects/features need enumeration",unknown,unknown,unknown,unknown,unknown,low,discovery-only,unverified,"Requires source inspection"
Jango73/eso-addons,collection,ESO add-ons,Unknown,other,ESO add-on collection,"Multi-addon repository discovered through GitHub search; contained projects/features need enumeration",unknown,unknown,unknown,unknown,unknown,low,discovery-only,unverified,"Requires source inspection"
kyoma/ESO-RaidNotifier,original,ESO-RaidNotifier,PC/Mac,combat,Raid encounter alerts,"Primary RaidNotifier source discovered via GitHub search; console fork relationship can be analyzed",unknown,unknown,unknown,unknown,medium,medium,repository-metadata,verified discovery,"Duplicate semantic entry retained only once in future dedupe pass"
cloudor126/lua-eso-addon-adr,original,Action Duration Reminder,PC/Mac,combat;UI-HUD,Action/effect duration tracking,"ESO addon ADR source repository; exact storage/settings framework pending",unknown,unknown,unknown,unknown,medium,medium,repository-metadata,verified discovery,"Useful combat settings architecture specimen"
yachoor/uspf,original,Urich's Skill Point Finder,PC/Mac,completion;quests,Skill point completion tracking,"Repository discovered from ESO-specific search; feature details should be confirmed from README/source",unknown,unknown,unknown,unknown,medium,high,repository-metadata,verified discovery,"Relevant to CompletionLens / character-selection discussions"
Pollox/PolloxsDailyQuestTracker,original,Pollox's Daily Quest Tracker,PC/Mac,quests,Daily quest tracking,"Tracks daily quest state; detailed filters/UI/storage pending source inspection",unknown,unknown,unknown,unknown,medium,medium,repository-metadata,verified discovery,"Quest-state persistence reference"
Jyndigo/AccurateWorldMap,original,AccurateWorldMap,PC/Mac,map-exploration,World map replacement/correction,"Large world-map project; exact data/assets/features require dedicated inspection",unknown,unknown,unknown,unknown,extreme,medium,repository-metadata,verified discovery,"Very large repo; good example of dataset-heavy addon not suited to blind Vault export"
YetAnotherGerrit/eso-CyroQuickslots,original,CyroQuickslots,PC/Mac,combat;automation-QoL,Quickslot management for Cyrodiil,"Quickslot-focused addon; exact feature and SavedVariables schema pending",unknown,unknown,unknown,unknown,medium,medium,repository-metadata,verified discovery,"Potential profile-style configuration"
gr﻿in3671/eso-achievement-items,original,ESO Achievement Items,PC/Mac,completion,Achievement-related item tracking,"Repository discovered via GitHub search; exact functionality pending README/source inspection",unknown,unknown,unknown,unknown,medium,low,discovery-only,verified discovery,"Feature description intentionally conservative"
MladenMarkovic90/APCounter,original,APCounter,PC/Mac,combat;PvP,Alliance Point counter,"Tracks AP; exact feature surface/storage pending source inspection",unknown,unknown,unknown,unknown,low,low,repository-metadata,verified discovery,"Small-state specimen"
ImInfenix/CurrencyTracker,original,CurrencyTracker,PC/Mac,UI-HUD;completion,Currency tracking,"Tracks currencies; exact display/history/settings pending source inspection",unknown,unknown,unknown,unknown,medium,medium,repository-metadata,verified discovery,"Potential account-wide state"
